2026-08-11 22:54:43,475 | INFO | builtins | Starting Scenario: Remove a product from cart
2026-08-11 22:54:46,694 | INFO | builtins | Finished Scenario: Remove a product from cart
2026-08-11 22:54:46,695 | INFO | builtins | Starting Scenario: Open first category
2026-08-11 22:55:05,411 | INFO | builtins | Finished Scenario: Open first category
2026-08-11 22:55:05,411 | INFO | builtins | Starting Scenario: Verify category filters
2026-08-11 22:55:24,260 | INFO | builtins | Finished Scenario: Verify category filters
2026-08-11 22:55:24,261 | INFO | builtins | Starting Scenario: Verify footer section
2026-08-11 22:55:27,196 | INFO | builtins | Finished Scenario: Verify footer section
2026-08-11 22:55:27,197 | INFO | builtins | Starting Scenario: Verify footer links
2026-08-11 22:55:30,228 | INFO | builtins | Finished Scenario: Verify footer links
2026-08-11 22:55:30,228 | INFO | builtins | Starting Scenario: Open About Us page
2026-08-11 22:55:34,597 | INFO | builtins | Finished Scenario: Open About Us page
2026-08-11 22:55:34,597 | INFO | builtins | Starting Scenario: Open Contact Us page
2026-08-11 22:55:38,999 | INFO | builtins | Finished Scenario: Open Contact Us page
2026-08-11 22:55:39,000 | INFO | builtins | Starting Scenario: Verify homepage loads successfully
2026-08-11 23:08:55,530 | INFO | builtins | ===================================
2026-08-11 23:08:55,530 | INFO | builtins | BigBasket BDD Test Execution Started
2026-08-11 23:08:55,530 | INFO | builtins | ===================================
2026-08-11 23:08:55,532 | INFO | builtins | -----------------------------------
2026-08-11 23:08:55,532 | INFO | builtins | Starting Scenario: Add a product to cart
2026-08-11 23:08:57,967 | INFO | builtins | Chrome WebDriver initialized successfully
2026-08-11 23:08:59,177 | INFO | builtins | Scenario PASSED: Add a product to cart
2026-08-11 23:08:59,289 | INFO | builtins | Browser closed: Add a product to cart
2026-08-11 23:08:59,290 | INFO | builtins | -----------------------------------
2026-08-11 23:08:59,290 | INFO | builtins | Starting Scenario: Remove a product from cart
2026-08-11 23:09:00,563 | INFO | builtins | Chrome WebDriver initialized successfully
2026-08-11 23:09:01,396 | INFO | builtins | Scenario PASSED: Remove a product from cart
2026-08-11 23:09:01,507 | INFO | builtins | Browser closed: Remove a product from cart
2026-08-11 23:09:01,508 | INFO | builtins | -----------------------------------
2026-08-11 23:09:01,508 | INFO | builtins | Starting Scenario: Open first category
2026-08-11 23:09:02,920 | INFO | builtins | Chrome WebDriver initialized successfully
2026-08-11 23:09:19,197 | INFO | builtins | Scenario PASSED: Open first category
2026-08-11 23:09:19,380 | INFO | builtins | Browser closed: Open first category
2026-08-11 23:09:19,381 | INFO | builtins | -----------------------------------
2026-08-11 23:09:19,381 | INFO | builtins | Starting Scenario: Verify category filters
2026-08-11 23:09:20,824 | INFO | builtins | Chrome WebDriver initialized successfully
2026-08-11 23:09:37,111 | INFO | builtins | Scenario PASSED: Verify category filters
2026-08-11 23:09:37,230 | INFO | builtins | Browser closed: Verify category filters
2026-08-11 23:09:37,231 | INFO | builtins | -----------------------------------
2026-08-11 23:09:37,231 | INFO | builtins | Starting Scenario: Verify footer section
2026-08-11 23:09:38,734 | INFO | builtins | Chrome WebDriver initialized successfully
2026-08-11 23:09:39,695 | INFO | builtins | Scenario PASSED: Verify footer section
2026-08-11 23:09:39,907 | INFO | builtins | Browser closed: Verify footer section
2026-08-11 23:09:39,907 | INFO | builtins | -----------------------------------
2026-08-11 23:09:39,908 | INFO | builtins | Starting Scenario: Verify footer links
2026-08-11 23:09:41,116 | INFO | builtins | Chrome WebDriver initialized successfully
2026-08-11 23:09:41,947 | INFO | builtins | Scenario PASSED: Verify footer links
2026-08-11 23:09:42,057 | INFO | builtins | Browser closed: Verify footer links
2026-08-11 23:09:42,057 | INFO | builtins | -----------------------------------
2026-08-11 23:09:42,057 | INFO | builtins | Starting Scenario: Open About Us page
2026-08-11 23:09:43,305 | INFO | builtins | Chrome WebDriver initialized successfully
2026-08-11 23:09:45,212 | INFO | builtins | Scenario PASSED: Open About Us page
2026-08-11 23:09:45,321 | INFO | builtins | Browser closed: Open About Us page
2026-08-11 23:09:45,321 | INFO | builtins | -----------------------------------
2026-08-11 23:09:45,321 | INFO | builtins | Starting Scenario: Open Contact Us page
2026-08-11 23:09:46,559 | INFO | builtins | Chrome WebDriver initialized successfully
2026-08-11 23:09:47,481 | ERROR | builtins | Scenario FAILED: Open Contact Us page
2026-08-11 23:09:47,868 | INFO | builtins | Failure screenshot captured for: Open Contact Us page
2026-08-11 23:09:47,974 | INFO | builtins | Browser closed: Open Contact Us page
2026-08-11 23:09:47,975 | INFO | builtins | -----------------------------------
2026-08-11 23:09:47,975 | INFO | builtins | Starting Scenario: Verify homepage loads successfully
2026-08-11 23:09:49,463 | INFO | builtins | Chrome WebDriver initialized successfully
2026-08-11 23:09:50,299 | INFO | builtins | Scenario PASSED: Verify homepage loads successfully
2026-08-11 23:09:50,402 | INFO | builtins | Browser closed: Verify homepage loads successfully
2026-08-11 23:09:50,402 | INFO | builtins | -----------------------------------
2026-08-11 23:09:50,402 | INFO | builtins | Starting Scenario: Verify homepage title
2026-08-11 23:09:51,628 | INFO | builtins | Chrome WebDriver initialized successfully
2026-08-11 23:09:52,476 | INFO | builtins | Scenario PASSED: Verify homepage title
2026-08-11 23:09:52,583 | INFO | builtins | Browser closed: Verify homepage title
2026-08-11 23:09:52,584 | INFO | builtins | -----------------------------------
2026-08-11 23:09:52,584 | INFO | builtins | Starting Scenario: Verify homepage URL
2026-08-11 23:09:54,012 | INFO | builtins | Chrome WebDriver initialized successfully
2026-08-11 23:09:54,961 | INFO | builtins | Scenario PASSED: Verify homepage URL
2026-08-11 23:09:55,070 | INFO | builtins | Browser closed: Verify homepage URL
2026-08-11 23:09:55,071 | INFO | builtins | -----------------------------------
2026-08-11 23:09:55,071 | INFO | builtins | Starting Scenario: Verify search box
2026-08-11 23:09:56,326 | INFO | builtins | Chrome WebDriver initialized successfully
2026-08-11 23:09:57,155 | INFO | builtins | Scenario PASSED: Verify search box
2026-08-11 23:09:57,261 | INFO | builtins | Browser closed: Verify search box
2026-08-11 23:09:57,262 | INFO | builtins | -----------------------------------
2026-08-11 23:09:57,262 | INFO | builtins | Starting Scenario: Verify website logo
2026-08-11 23:09:58,690 | INFO | builtins | Chrome WebDriver initialized successfully
2026-08-11 23:09:59,502 | INFO | builtins | Scenario PASSED: Verify website logo
